date,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration,latitude,longitude,elevation,slope,land_cover
2020-01-01,21.0,0.0,0.0,0.0,3.59,18.241,73.4469,452,42.87217712402344,116
2020-01-02,21.5,0.0,0.0,0.0,3.58,18.241,73.4469,452,42.87217712402344,116
2020-01-03,20.3,0.0,0.0,0.0,3.55,18.241,73.4469,452,42.87217712402344,116
2020-01-04,20.4,0.0,0.0,0.0,3.61,18.241,73.4469,452,42.87217712402344,116
2020-01-05,22.1,0.0,0.0,0.0,4.29,18.241,73.4469,452,42.87217712402344,116
2020-01-06,24.3,0.0,0.0,0.0,4.6,18.241,73.4469,452,42.87217712402344,116
2020-01-07,24.4,0.0,0.0,0.0,3.86,18.241,73.4469,452,42.87217712402344,116
2020-01-08,22.8,0.0,0.0,0.0,2.99,18.241,73.4469,452,42.87217712402344,116
2020-01-09,21.7,0.0,0.0,0.0,3.73,18.241,73.4469,452,42.87217712402344,116
2020-01-10,23.4,0.0,0.0,0.0,4.65,18.241,73.4469,452,42.87217712402344,116
2020-01-11,24.7,0.0,0.0,0.0,4.39,18.241,73.4469,452,42.87217712402344,116
2020-01-12,23.8,0.0,0.0,0.0,4.27,18.241,73.4469,452,42.87217712402344,116
2020-01-13,22.7,0.0,0.0,0.0,3.68,18.241,73.4469,452,42.87217712402344,116
2020-01-14,22.1,0.0,0.0,0.0,3.69,18.241,73.4469,452,42.87217712402344,116
2020-01-15,21.1,0.0,0.0,0.0,3.8,18.241,73.4469,452,42.87217712402344,116
2020-01-16,18.9,0.0,0.0,0.0,3.72,18.241,73.4469,452,42.87217712402344,116
2020-01-17,18.3,0.0,0.0,0.0,3.79,18.241,73.4469,452,42.87217712402344,116
2020-01-18,21.6,0.0,0.0,0.0,4.51,18.241,73.4469,452,42.87217712402344,116
2020-01-19,23.6,0.0,0.0,0.0,4.14,18.241,73.4469,452,42.87217712402344,116
2020-01-20,24.5,0.0,0.0,0.0,4.41,18.241,73.4469,452,42.87217712402344,116
2020-01-21,24.8,0.0,0.0,0.0,4.14,18.241,73.4469,452,42.87217712402344,116
2020-01-22,25.1,0.0,0.0,0.0,4.3,18.241,73.4469,452,42.87217712402344,116
2020-01-23,25.0,0.0,0.0,0.0,4.91,18.241,73.4469,452,42.87217712402344,116
2020-01-24,25.4,0.0,0.0,0.0,4.94,18.241,73.4469,452,42.87217712402344,116
2020-01-25,25.4,0.0,0.0,0.0,4.65,18.241,73.4469,452,42.87217712402344,116
2020-01-26,25.8,0.0,0.0,0.0,4.91,18.241,73.4469,452,42.87217712402344,116
2020-01-27,24.3,0.0,0.0,0.0,4.36,18.241,73.4469,452,42.87217712402344,116
2020-01-28,20.6,0.2,0.2,1.0,2.8,18.241,73.4469,452,42.87217712402344,116
2020-01-29,20.1,0.0,0.0,0.0,3.3,18.241,73.4469,452,42.87217712402344,116
2020-01-30,20.4,0.0,0.0,0.0,4.16,18.241,73.4469,452,42.87217712402344,116
2020-01-31,20.7,0.0,0.0,0.0,4.22,18.241,73.4469,452,42.87217712402344,116
2020-02-01,21.8,0.0,0.0,0.0,4.31,18.241,73.4469,452,42.87217712402344,116
2020-02-02,22.8,0.0,0.0,0.0,4.81,18.241,73.4469,452,42.87217712402344,116
2020-02-03,22.7,0.0,0.0,0.0,4.38,18.241,73.4469,452,42.87217712402344,116
2020-02-04,22.9,0.0,0.0,0.0,4.29,18.241,73.4469,452,42.87217712402344,116
