date,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration,latitude,longitude,elevation,slope,clay_content,land_cover,landslide_occurred
21-01-2014,25.2,0.4,0.4,2,3.89,17.5861,73.1742,16,4.025987148,,126,0
20-02-2014,26,0.1,0.1,1,4.11,17.5861,73.1742,16,4.025987148,,126,0
21-02-2014,25.3,0.7,0.7,4,3.97,17.5861,73.1742,16,4.025987148,,126,0
09-03-2014,26.1,0.3,0.3,1,4.53,17.5861,73.1742,16,4.025987148,,126,0
21-04-2014,29.7,0.2,0.2,1,5.67,17.5861,73.1742,16,4.025987148,,126,0
08-05-2014,30.2,0.4,0.4,2,4.23,17.5861,73.1742,16,4.025987148,,126,1
09-05-2014,30,1.8,1.8,6,4.37,17.5861,73.1742,16,4.025987148,,126,0
20-05-2014,30.3,0.7,0.7,3,3.75,17.5861,73.1742,16,4.025987148,,126,0
27-05-2014,29.7,0.8,0.8,4,4.44,17.5861,73.1742,16,4.025987148,,126,0
03-06-2014,29.1,5,5,5,2.65,17.5861,73.1742,16,4.025987148,,126,0
04-06-2014,29.7,0.2,0.2,2,4.42,17.5861,73.1742,16,4.025987148,,126,0
05-06-2014,29.3,4.5,4.5,15,3.45,17.5861,73.1742,16,4.025987148,,126,0
06-06-2014,29.7,1.2,1.2,6,4.26,17.5861,73.1742,16,4.025987148,,126,0
07-06-2014,29.6,1.1,1.1,7,4.76,17.5861,73.1742,16,4.025987148,,126,0
08-06-2014,29.1,4.8,4.8,16,4.25,17.5861,73.1742,16,4.025987148,,126,0
09-06-2014,29.5,1,1,4,4.88,17.5861,73.1742,16,4.025987148,,126,0
10-06-2014,28.8,4.7,4.7,6,5.06,17.5861,73.1742,16,4.025987148,,126,0
11-06-2014,28.5,5.3,5.3,17,5.11,17.5861,73.1742,16,4.025987148,,126,0
12-06-2014,27.8,5.6,5.6,21,4.42,17.5861,73.1742,16,4.025987148,,126,0
13-06-2014,27.2,9,9,22,3.97,17.5861,73.1742,16,4.025987148,,126,0
14-06-2014,27,6.6,6.6,23,3.86,17.5861,73.1742,16,4.025987148,,126,0
15-06-2014,26.4,15.6,15.6,24,3.41,17.5861,73.1742,16,4.025987148,,126,0
16-06-2014,26.5,18.9,18.9,24,3.25,17.5861,73.1742,16,4.025987148,,126,0
17-06-2014,27,5.4,5.4,23,3.25,17.5861,73.1742,16,4.025987148,,126,0
18-06-2014,26.7,10.4,10.4,24,3.07,17.5861,73.1742,16,4.025987148,,126,0
19-06-2014,27.1,14.3,14.3,24,3.39,17.5861,73.1742,16,4.025987148,,126,0
20-06-2014,27.7,8.8,8.8,24,4.08,17.5861,73.1742,16,4.025987148,,126,0
21-06-2014,27.6,9,9,24,4.06,17.5861,73.1742,16,4.025987148,,126,0
22-06-2014,27.5,7.6,7.6,24,3.93,17.5861,73.1742,16,4.025987148,,126,0
23-06-2014,27.7,8.6,8.6,24,4.27,17.5861,73.1742,16,4.025987148,,126,0
24-06-2014,27.7,6.5,6.5,24,4.23,17.5861,73.1742,16,4.025987148,,126,0
25-06-2014,27.8,6,6,23,4.42,17.5861,73.1742,16,4.025987148,,126,0
26-06-2014,27.7,3.1,3.1,14,4.38,17.5861,73.1742,16,4.025987148,,126,0
27-06-2014,28,1.1,1.1,8,4.39,17.5861,73.1742,16,4.025987148,,126,0
28-06-2014,28.1,1.2,1.2,6,4.07,17.5861,73.1742,16,4.025987148,,126,0
29-06-2014,28.2,2,2,13,4.39,17.5861,73.1742,16,4.025987148,,126,0
30-06-2014,28,3.2,3.2,15,4.47,17.5861,73.1742,16,4.025987148,,126,0
01-07-2014,27.4,5.2,5.2,24,3.39,17.5861,73.1742,16,4.025987148,,126,0
02-07-2014,26.9,5.7,5.7,21,4.05,17.5861,73.1742,16,4.025987148,,126,0
03-07-2014,25.8,13.5,13.5,24,2.5,17.5861,73.1742,16,4.025987148,,126,0
04-07-2014,26.1,21.4,21.4,24,2.43,17.5861,73.1742,16,4.025987148,,126,0
05-07-2014,26.8,12.6,12.6,24,3.22,17.5861,73.1742,16,4.025987148,,126,0
06-07-2014,26.7,11.4,11.4,24,3.27,17.5861,73.1742,16,4.025987148,,126,0
07-07-2014,26.4,13.6,13.6,23,3.12,17.5861,73.1742,16,4.025987148,,126,0
08-07-2014,26,17.7,17.7,24,2.02,17.5861,73.1742,16,4.025987148,,126,0
09-07-2014,25.5,24,24,24,1.52,17.5861,73.1742,16,4.025987148,,126,0
10-07-2014,25.2,83.6,83.6,24,1.05,17.5861,73.1742,16,4.025987148,,126,0
11-07-2014,25.4,98.6,98.6,24,1.17,17.5861,73.1742,16,4.025987148,,126,0
12-07-2014,25.5,49.8,49.8,24,1.32,17.5861,73.1742,16,4.025987148,,126,0
