date,latitude,longitude,country_name,admin_division_name,risk_class,elevation,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration
2017-06-17,25.67836832,91.9234343,india,Meghalaya,High,992.0,21.7,56.6,56.6,18.0,1.65
2010-04-20,34.38667467,76.34149163999999,india,Jammu and Kashmir,Low,3284.0,-1.0,7.9,0.0,22.0,3.07
2010-04-20,26.1965,91.763,india,Assam,High,81.0,22.2,50.4,50.4,24.0,1.14
2015-08-28,23.4495,92.8112,india,Mizoram,High,867.0,22.8,1.2,1.2,5.0,3.6
2010-08-06,34.1416,77.4871,india,Jammu and Kashmir,Low,3190.0,17.7,12.3,12.3,19.0,3.77
2015-07-11,32.9262,75.1447,india,Jammu and Kashmir,Low,743.0,23.8,17.9,17.9,15.0,2.47
2010-06-16,27.0765,88.4808,india,West Bengal,High,1218.0,21.6,10.9,10.9,23.0,3.14
2014-07-30,19.16260832,73.68550038,india,Maharashtra,Medium,956.0,20.7,24.7,24.7,24.0,1.44
2010-09-19,30.7198,77.1695,india,Himachal Pradesh,High,1138.0,18.7,58.5,58.5,21.0,1.44
2013-10-06,26.1309,91.8383,india,Assam,High,96.0,23.7,24.5,24.5,22.0,0.84
2015-03-15,33.7732,74.1011,india,Jammu and Kashmir,High,1054.0,9.6,12.1,12.1,17.0,1.13
2013-07-07,31.5596,77.1679,india,Himachal Pradesh,High,1885.0,18.9,9.8,9.8,19.0,1.66
2015-06-27,27.0076,88.251,india,West Bengal,Low,2273.0,15.5,18.4,18.4,24.0,1.74
2017-04-06,30.61461423,78.3157525,india,Uttaranchal,High,876.0,18.7,40.1,40.1,22.0,3.04
2016-08-02,19.3421,73.7735,india,Maharashtra,Medium,573.0,21.6,178.3,178.3,24.0,0.72
2010-11-16,10.3184,77.52769999999998,india,Tamil Nadu,Low,1161.0,19.7,13.4,13.4,14.0,2.29
2007-08-09,12.8733,74.8481,india,Karnataka,Medium,42.0,24.6,18.5,18.5,24.0,2.24
2010-09-13,23.741826340000003,92.7141905,india,Mizoram,Medium,929.0,21.0,15.4,15.4,16.0,1.78
2011-02-13,33.1804,75.8101,india,Jammu and Kashmir,Medium,1132.0,7.0,42.5,0.2,24.0,0.96
2010-09-19,30.9035,77.0965,india,Himachal Pradesh,Medium,1416.0,17.6,112.6,112.6,24.0,0.98
2012-08-17,9.8232,77.1498,india,Kerala,Low,878.0,19.1,29.4,29.4,21.0,0.95
2012-06-13,25.0951,92.3567,india,Meghalaya,Low,246.0,26.0,9.1,9.1,19.0,3.82
2015-09-05,25.4551,84.5322,india,Bihar,Medium,70.0,29.3,0.0,0.0,0.0,5.34
2011-08-09,24.5958,72.71689999999998,india,Rajasthan,Medium,1177.0,19.9,31.8,31.8,24.0,0.68
2010-09-20,31.944,77.1179,india,Himachal Pradesh,Low,1337.0,18.7,16.3,16.3,14.0,1.57
2018-11-03,33.25426998,75.20536698999999,india,Jammu and Kashmir,Low,796.0,12.6,56.1,56.1,24.0,0.83
2017-03-22,31.77315744,77.30471356999999,india,Himachal Pradesh,Low,1317.0,16.9,1.9,1.9,2.0,3.86
2014-08-15,30.1176,78.7472,india,Uttaranchal,High,1458.0,20.2,43.6,43.6,24.0,1.34
2017-07-09,25.632035700000003,94.10065403,india,Nagaland,High,1682.0,19.0,16.8,16.8,21.0,1.37
2015-04-16,31.49911602,78.22419099000001,india,Himachal Pradesh,High,1847.0,7.9,2.3,0.0,5.0,3.82
2017-06-21,21.556137,85.70071224999998,india,Orissa,Medium,447.0,27.0,3.8,3.8,5.0,3.89
2018-08-08,10.57211238,76.38600783999999,india,Kerala,High,133.0,23.4,36.9,36.9,24.0,1.84
2011-06-17,26.84850975,88.26181744999998,india,West Bengal,Medium,953.0,22.5,37.1,37.1,24.0,2.03
2015-03-21,33.1754,75.8103,india,Jammu and Kashmir,Medium,1030.0,12.1,0.0,0.0,0.0,4.32
2018-09-25,33.13498724,75.54505215999998,india,Jammu and Kashmir,High,851.0,23.7,0.0,0.0,0.0,4.07
2018-10-03,10.26805833,76.34859138,india,Kerala,Medium,21.0,25.7,48.7,48.7,17.0,2.6
2011-08-28,19.1355,72.99809999999998,india,Maharashtra,High,6.0,25.3,43.5,43.5,24.0,1.63
2017-01-26,33.36011691,75.17291043999998,india,Jammu and Kashmir,High,1340.0,6.9,34.2,13.3,23.0,0.61
2016-07-11,26.1699,94.4922,india,Nagaland,Low,1134.0,23.1,13.8,13.8,12.0,3.49
2011-07-09,30.7331,79.0685,india,Uttaranchal,High,3530.0,10.4,16.4,16.4,18.0,2.65
2015-09-01,26.1868,91.6739,india,Assam,Low,50.0,25.6,25.6,25.6,23.0,1.01
2013-06-16,31.5986,78.4384,india,Himachal Pradesh,High,2273.0,12.8,68.9,19.0,24.0,2.28
2013-10-06,15.6365,74.11579999999998,india,Goa,High,334.0,23.4,12.8,12.8,16.0,2.2
2010-09-04,27.3702,88.7334,india,Sikkim,Low,3520.0,8.5,16.7,16.7,24.0,1.38
2010-09-09,28.3036,95.4112,india,Arunachal Pradesh,Low,1835.0,17.2,21.8,21.8,23.0,1.73
2010-08-05,27.0366,88.263,india,West Bengal,High,2098.0,17.1,14.8,14.8,24.0,2.8
2017-02-03,33.30044087,75.18163117,india,Jammu and Kashmir,Medium,1073.0,13.9,0.0,0.0,0.0,2.9
2017-04-16,33.1292173,75.44618905999998,india,Jammu and Kashmir,Low,1030.0,23.7,0.0,0.0,0.0,6.04
2017-09-30,25.658708,94.098536,india,Nagaland,Medium,1500.0,19.3,2.8,2.8,9.0,2.54
2016-07-12,15.6019,73.80929999999998,india,Goa,Medium,45.0,25.0,33.7,33.7,24.0,2.28
2014-06-26,28.9205,95.3429,india,Arunachal Pradesh,Medium,4060.0,8.6,11.5,11.5,18.0,2.78
2018-04-28,25.03190213,92.42257695,india,Meghalaya,Low,168.0,25.5,0.4,0.4,1.0,4.99
2015-06-16,25.5084,90.2191,india,Meghalaya,Medium,300.0,24.9,24.4,24.4,15.0,2.11
2010-08-26,32.7029,75.9568,india,Himachal Pradesh,Low,2005.0,18.2,6.3,6.3,7.0,3.37
2010-06-16,26.8073,88.31619999999998,india,West Bengal,Medium,225.0,25.6,15.8,15.8,22.0,3.0
2018-05-18,24.02515388,91.49747518,india,Tripura,High,130.0,23.6,24.6,24.6,22.0,1.64
2010-08-26,30.365,78.06409999999998,india,Uttaranchal,High,770.0,23.6,32.4,32.4,14.0,1.61
2011-04-17,33.3645,75.1999,india,Jammu and Kashmir,Low,1835.0,10.7,37.1,37.1,22.0,2.42
2018-08-17,12.41394132,75.71901706,india,Karnataka,High,941.0,19.6,68.5,68.5,24.0,1.59
2018-08-17,11.249634339999998,75.92024529999999,india,Kerala,High,70.0,24.4,31.6,31.6,24.0,2.37
2008-06-30,27.0771,88.482,india,West Bengal,Medium,1239.0,20.4,14.3,14.3,20.0,1.87
2017-06-02,25.67061161,94.11844319,india,Nagaland,Low,1443.0,19.2,20.5,20.5,11.0,2.28
2010-09-11,30.7059,76.98439999999998,india,Haryana,Medium,760.0,24.4,10.1,10.1,8.0,2.89
2010-02-06,33.1595,75.8011,india,Jammu and Kashmir,Medium,1094.0,6.5,24.1,1.2,19.0,1.33
2013-07-29,32.9918,75.1945,india,Jammu and Kashmir,Medium,912.0,25.9,4.6,4.6,12.0,3.02
2015-06-30,25.4243,88.2746,india,West Bengal,Medium,29.0,28.1,5.0,5.0,13.0,3.46
2017-06-01,23.73941422,92.71505961,india,Mizoram,Medium,1068.0,20.8,11.3,11.3,15.0,2.71
2015-12-20,10.8319,78.70749999999998,india,Tamil Nadu,Medium,70.0,25.1,0.6,0.6,3.0,3.16
2010-07-07,32.6598,76.85299999999998,india,Himachal Pradesh,Medium,3666.0,7.6,8.7,8.7,8.0,2.54
2008-08-14,27.163,94.0,india,Assam,Low,95.0,26.4,6.0,6.0,19.0,2.6
2010-10-09,25.5265,93.8673,india,Manipur,High,1354.0,18.4,22.4,22.4,21.0,1.72
2011-04-17,33.1488,75.5526,india,Jammu and Kashmir,Medium,1060.0,14.2,49.0,49.0,22.0,2.61
2014-02-23,33.2359,75.244,india,Jammu and Kashmir,Medium,791.0,9.5,0.1,0.1,1.0,2.94
2016-12-16,11.328578,76.903045,india,Tamil Nadu,Medium,345.0,23.6,0.0,0.0,0.0,3.62
2011-07-03,34.1601,75.49599999999998,india,Jammu and Kashmir,Medium,3722.0,5.3,0.8,0.8,4.0,3.93
2017-01-26,30.8754355,77.00009328999998,india,Himachal Pradesh,Medium,1204.0,11.0,53.0,53.0,21.0,0.98
2015-07-18,32.2239,76.32259999999998,india,Himachal Pradesh,Medium,1484.0,20.8,5.0,5.0,12.0,2.01
2016-06-23,15.3739,73.89109999999998,india,Goa,High,57.0,25.7,86.2,86.2,24.0,2.58
2008-06-15,27.2298,94.0989,india,Assam,High,95.0,27.2,2.3,2.3,8.0,3.13
2016-08-05,27.5754,91.9754,india,Arunachal Pradesh,Medium,2379.0,17.7,4.4,4.4,10.0,2.59
2018-08-13,30.7384152,76.98640068999998,india,Haryana,High,474.0,25.4,46.0,46.0,19.0,1.4
2013-07-25,11.3192,76.5959,india,Tamil Nadu,Low,2011.0,15.8,9.9,9.9,24.0,1.91
2017-07-10,27.360364,88.65191399999999,india,Sikkim,Medium,2284.0,16.4,40.7,40.7,24.0,1.59
2018-08-16,10.32303994,76.46715889,india,Kerala,Low,256.0,22.2,120.2,120.2,24.0,0.83
2015-08-08,31.8028,76.757,india,Himachal Pradesh,Low,720.0,23.2,38.6,38.6,18.0,0.57
2009-08-20,25.5215,93.1645,india,Assam,Medium,279.0,25.7,4.1,4.1,15.0,2.56
2011-12-10,29.913,79.3532,india,Uttaranchal,High,1017.0,14.2,0.0,0.0,0.0,2.12
2018-09-20,12.79630729,75.59507472,india,Karnataka,Low,316.0,23.9,4.4,4.4,11.0,3.65
2009-10-02,14.9935,74.04779999999998,india,Goa,Medium,7.0,25.8,26.9,26.9,24.0,1.21
2010-09-17,30.75402442,79.49970188999998,india,Uttaranchal,Low,3137.0,9.9,28.2,27.7,13.0,1.87
2013-09-01,24.9829,93.5063,india,Manipur,Low,1284.0,20.7,3.0,3.0,8.0,3.53
2010-06-03,24.6005,92.3814,india,Assam,Low,70.0,27.4,3.1,3.1,11.0,3.55
2011-07-15,27.125,93.7145,india,Arunachal Pradesh,Low,132.0,24.5,43.3,43.3,24.0,1.2
2013-06-25,10.9628,77.5947,india,Tamil Nadu,High,267.0,26.2,3.0,3.0,6.0,4.26
2010-07-29,25.3098633,94.48214677,india,Manipur,Low,1559.0,20.3,27.7,27.7,14.0,1.74
2010-03-27,24.7339,93.9161,india,Manipur,Low,886.0,23.3,2.5,2.5,4.0,4.74
2018-09-15,27.54043014,88.49888235999998,india,Sikkim,Low,1235.0,21.8,36.7,36.7,15.0,2.65
2014-09-21,25.7354,90.3852,india,Meghalaya,High,334.0,24.2,10.1,10.1,21.0,0.86
2017-10-13,11.547393,75.891248,india,Kerala,Low,53.0,25.3,39.1,39.1,14.0,1.78
2010-06-15,25.2269,93.1658,india,Assam,Low,396.0,25.1,11.6,11.6,18.0,3.02
2010-09-13,23.75406693,92.74128531,india,Mizoram,High,994.0,20.6,15.4,15.4,16.0,1.77
2016-10-12,26.8861,88.1704,india,West Bengal,High,1432.0,18.2,45.9,45.9,20.0,1.39
2014-05-09,24.8669,92.3576,india,Assam,High,18.0,23.6,53.9,53.9,24.0,1.52
2007-10-16,25.7055,94.0132,india,Nagaland,Low,1478.0,17.5,24.8,24.8,24.0,0.95
2015-03-23,34.0796,74.0357,india,Jammu and Kashmir,High,1348.0,10.6,0.0,0.0,0.0,4.07
2018-09-02,31.11294766,77.61442829,india,Himachal Pradesh,High,2494.0,15.1,10.9,10.9,15.0,1.51
2015-07-26,31.1003,77.1751,india,Himachal Pradesh,Low,2105.0,18.6,37.1,37.1,16.0,2.78
2017-06-05,34.27703802,75.46743477999999,india,Jammu and Kashmir,High,3613.0,6.3,4.0,4.0,5.0,4.14
2016-08-29,30.995694,78.93631399999998,india,Uttaranchal,Low,3054.0,12.9,11.2,11.2,14.0,3.07
